date	bytes_sent
2025-08-21	5367569150
2025-08-27	4294055320
2025-09-05	8588110640
2025-09-11	203468844748
2025-09-12	865805874814
2025-09-13	1764255617962
2025-09-18	14899712156
2025-09-25	214902852
2025-09-29	1073513830
2025-10-02	602628948
2025-10-08	23418295
2025-10-09	23423144
2025-10-13	38882512
2025-10-14	23880264
2025-10-27	100886287656
2025-10-28	23330880
2025-10-29	235540616
2025-11-12	4168404592
2025-11-13	28453048
2025-11-19	38974624
2025-12-07	48475920
2025-12-10	16135136
2025-12-13	2959360
2025-12-20	5443756918
2025-12-24	911360
2026-01-08	18910540
2026-01-15	19574896
2026-01-16	1887795172
2026-01-18	2947860
2026-01-22	45911832
