date	bytes_sent
2025-08-13	22757042
2025-08-14	145576496
2025-08-15	816729427
2025-08-19	3563770621
2025-08-21	5620637054
2025-08-22	264
2025-08-25	262040
2025-08-26	644609990
2025-08-27	6128139617
2025-08-28	240593646557
2025-08-31	76380983524
2025-09-02	11081238
2025-09-03	91541944861
2025-09-04	130798885188
2025-09-05	31487049998
2025-09-08	51415156
2025-09-10	359861527
2025-09-11	203468844748
2025-09-12	865805874814
2025-09-13	1764255617962
2025-09-15	284407560015
2025-09-17	45635548034
2025-09-18	119894318061
2025-09-19	47963007802
2025-09-20	19821790980
2025-09-24	6024956984
2025-09-25	214902852
2025-09-26	20223826
2025-09-29	18798209404
2025-09-30	957547372
2025-10-01	16061314685
2025-10-02	1707797540
2025-10-03	90362196
2025-10-06	14665538997
2025-10-07	14688436284
2025-10-08	106301797
2025-10-09	23423144
2025-10-10	11800
2025-10-11	40666451
2025-10-13	40637356
2025-10-14	24723912
2025-10-15	25629535
2025-10-17	12304952
2025-10-18	2938496
2025-10-19	2938496
2025-10-20	11753984
2025-10-21	920940069
2025-10-22	3122152
2025-10-23	6427960
2025-10-24	2020216
2025-10-25	1469248
2025-10-26	1469248
2025-10-27	100918267383
2025-10-28	27738624
2025-10-29	303019167
2025-10-30	2312896
2025-10-31	2203872
2025-11-01	1469248
2025-11-02	1469248
2025-11-03	1469248
2025-11-04	496611000648
2025-11-05	3724616
2025-11-06	5130048
2025-11-07	37845359
2025-11-08	3673120
2025-11-09	1469248
2025-11-10	29391082
2025-11-11	9423568
2025-11-12	4669263832
2025-11-13	35799288
2025-11-14	3463355
2025-11-15	367312
2025-11-17	750791089798
2025-11-18	13206713
2025-11-19	58625816
2025-11-20	6244304
2025-11-21	6795272
2025-11-22	3305808
2025-11-23	7529896
2025-11-24	14868512
2025-11-25	12672264
2025-11-26	12121296
2025-11-27	1285592
2025-11-28	2938496
2025-11-29	1652904
2025-11-30	1469248
2025-12-01	8081128
2025-12-02	145206683
2025-12-03	7897208
2025-12-04	11753984
2025-12-05	1469248
2025-12-06	5677888
2025-12-07	49945168
2025-12-08	1469248
2025-12-10	16921256
2025-12-13	4526355
2025-12-17	2139726
2025-12-18	4202311283
2025-12-20	5444307886
2025-12-24	1300480
2025-12-31	524080
2026-01-06	1652904
2026-01-07	2938496
2026-01-08	169025024
2026-01-09	4958712
2026-01-10	1469248
2026-01-11	1469248
2026-01-12	14688468000
2026-01-13	1652904
2026-01-14	1469248
2026-01-15	21044144
2026-01-16	1889264420
2026-01-17	1469248
2026-01-18	4417108
2026-01-19	1469248
2026-01-20	1469248
2026-01-21	1469248
2026-01-22	47748392
2026-01-23	3122152
2026-01-24	1285592
2026-01-25	1469248
2026-01-26	9366456
2026-01-27	7529896
2026-01-28	22773344
2026-01-29	31352260
2026-01-30	9075472
