region	bytes_sent
AWS/us-east-1	28415692508240
CA/Quebec	20786204
DE/Baden-Wurttemberg	372388330
DE/City state Bremen	534449
GCP/us-central1	263796264
GitHub	9134682193
HU/Budapest	2364345
IT/Lazio	262040
IT/Lombardy	237216442
IT/Piedmont	4466540990
JP/Aichi	550968
MX/Mexico City	183656
SE/Stockholm	48475920
US/California	150679270019
US/Connecticut	18293338
US/Illinois	5536752964
US/Maryland	35690762687
US/Massachusetts	174534234
US/Michigan	264
US/New York	647148268
US/North Carolina	1396940052
US/Ohio	524080
US/Pennsylvania	25133412168
US/Texas	18555378
US/Vermont	69088317766
US/Virginia	320402745
US/Washington	698544
VPN	1160984622
bogon	155059288
